kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Ngawi,Ngawi,2017,8699,53740,"61,77721577"
Indramayu,-,2023,230457,1424303,"61,80341669"
Ngawi,Jogorogo,2022,6095,37689,"61,83593109"
Ngawi,Kendal,2024,5471,33871,"61,91007128"
Ngawi,Sine,2023,7441,46095,"61,94731891"
Ngawi,Kendal,2025,6237,38662,"61,98813532"
Indramayu,Lohbener,2017,5174,32078,"61,99845381"
Bone,Barebbo,2016,11134,69086,"62,04957787"
Bone,Barebbo,2017,10481,65035,"62,05037687"
Ngawi,Pitu,2022,1939,12035,"62,06807633"
Ngawi,Kwadungan,2017,5221,32432,"62,11836813"
Ngawi,Kendal,2021,7066,43944,"62,19077271"
Bone,Dua boccoe,2016,12960,80611,"62,19984568"
Bone,Dua boccoe,2017,17223,107127,"62,19996516"
Bone,Dua boccoe,2018,22858,142177,"62,200105"
Bone,Palakka,2017,4677,29100,"62,21937139"
Bone,Bontocani,2025,8213,51101,"62,21965177"
Bone,Barebbo,2018,11762,73183,"62,21986057"
Bone,Tanete barat,2022,2662,16566,"62,23140496"
Bone,Tanete barat,2023,2747,17095,"62,2315253"
Bone,Tanete barat,2024,2747,17095,"62,2315253"
Bone,Amali,2025,1469,9142,"62,23281144"
Ngawi,Kendal,2022,6388,39758,"62,23857232"
Ngawi,Karanganyar,2018,1911,11901,"62,27629513"
Ngawi,Sine,2018,5600,34880,"62,28571429"
Ngawi,Sine,2022,6521,40636,"62,31559577"
Bone,Lamuru,2025,6272,39093,"62,32940051"
Bone,Salomekko,2025,8065,50269,"62,32982021"
Ngawi,Sine,2024,7592,47368,"62,39199157"
Ngawi,Kendal,2023,5333,33274,"62,39264954"
Ngawi,Geneng,2017,9967,62206,"62,41195947"
Ngawi,Pitu,2021,2023,12629,"62,42708848"
Bone,Tanete riattang,2022,1961,12246,"62,44773075"
Bone,Tanete riattang,2023,1688,10542,"62,45260664"
Bone,Tanete riattang,2024,1688,10542,"62,45260664"
Ngawi,Bringin,2017,3704,23134,"62,45680346"
Ngawi,Ngrambe,2023,6407,40017,"62,45824879"
