kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Indramayu,Terisi,2016,12819,91017,"71,00163819"
Ngawi,Kwadungan,2024,6273,44579,"71,06488124"
Indramayu,Gantar,2016,18889,134248,"71,07205252"
Indramayu,Widasari,2016,5737,40835,"71,17831619"
Bone,Tellu limpoe,2023,2487,17715,"71,23039807"
Bone,Tellu limpoe,2024,2487,17715,"71,23039807"
Bone,Tellu limpoe,2025,3622,25800,"71,23136389"
Bone,Barebbo,2023,7458,53287,"71,44945025"
Bone,Barebbo,2024,7458,53287,"71,44945025"
Indramayu,Cikedung,2016,12584,90109,"71,60600763"
Indramayu,Losarang,2016,10474,75029,"71,63356884"
Indramayu,Jatibarang,2016,6104,44008,"72,09698558"
Indramayu,kroya,2016,16479,119525,"72,53170702"
Indramayu,Krangkeng,2016,9075,66062,"72,79559229"
Indramayu,Haurgeulis,2016,9512,69448,"73,01093356"
Indramayu,Cantigi,2016,2881,21108,"73,266227"
Indramayu,Balongan,2016,3834,28095,"73,27856025"
Indramayu,Pasekan,2017,1742,12776,"73,34098737"
Indramayu,Sindang,2016,4118,30215,"73,3729966"
Indramayu,Gabuswetan,2016,12361,90809,"73,46412103"
Indramayu,Kedokanbunder,2016,4252,31377,"73,79350894"
Indramayu,Sukagumiwang,2016,6095,45627,"74,85972108"
Indramayu,Arahan,2016,4861,36504,"75,09565933"
Indramayu,Lelea,2016,10000,75214,"75,214"
Indramayu,Bangodua,2016,7455,56190,"75,3722334"
Indramayu,Sliveg,2016,8532,64533,"75,63642757"
Indramayu,Pasekan,2016,1627,12314,"75,68531039"
Indramayu,Sukra,2017,6840,52359,"76,54824561"
Indramayu,Anjatan,2016,12215,96623,"79,10192386"
Indramayu,Bongas,2016,7916,62713,"79,22309247"
Indramayu,Juntinyuat,2016,7866,62400,"79,32875667"
Indramayu,Kertasemaya,2016,5869,47061,"80,18572159"
Indramayu,Tukdana,2016,8866,71381,"80,51094067"
Musi Banyuasin,Sungai lilin,2018,1258,10859,"86,31955485"
Musi Banyuasin,Batanghari leko,2016,-,-,-
Musi Banyuasin,Plakat tinggi,2016,-,-,-
Musi Banyuasin,Tungkal jaya,2016,-,-,-
Musi Banyuasin,Batanghari leko,2017,-,-,-
Musi Banyuasin,Plakat tinggi,2017,-,-,-
Musi Banyuasin,Keluang,2017,-,-,-
Musi Banyuasin,Batanghari leko,2018,62,-,-
Musi Banyuasin,Plakat tinggi,2018,25,-,-
Musi Banyuasin,Jirak jaya,2018,-,-,-
Musi Banyuasin,Keluang,2018,73,-,-
Musi Banyuasin,Batanghari leko,2020,-,-,-
Musi Banyuasin,Plakat tinggi,2020,-,-,-
Musi Banyuasin,Sungai keruh,2020,-,-,-
Musi Banyuasin,Keluang,2020,-,-,-
Musi Banyuasin,Keluang,2021,-,-,-
Musi Banyuasin,Keluang,2022,-,-,-
Musi Banyuasin,Keluang,2023,-,-,-
Musi Banyuasin,Tungkal jaya,2023,-,-,-
Musi Banyuasin,Keluang,2024,-,-,-
Musi Banyuasin,Bayung lencir,2024,-,-,-
Musi Banyuasin,Tungkal jaya,2024,-,-,-
Musi Banyuasin,Keluang,2025,-,-,-
Musi Banyuasin,Tungkal jaya,2025,-,-,-
